iso3,label,sublabel,latitude,longitude
USA,ATKA,ATKA PRIDE SEAFOODS INC,52.231942,-174.172997
USA,FALSEPOINT,BERING SEA PACIFIC SEAFOODS,54.865965,-163.408386
USA,KENAI,PACIFIC STAR SEAFOODS,60.548381,-151.22669
USA,KENAI,COPPER RIVER SEAFOODS,60.544077,-151.22304
USA,KENAI,INLET FISH PRODUCERS,60.532017,-151.252875
USA,KAKE,FREDERICK SOUND SEAFOOD COMPANY,56.963763,-133.927006
USA,HYDABURG,HAIDA WILD ALASKA SEAFOODS LLC,55.201691,-132.82639
USA,POINT REYES,,37.99759222,-122.970371
USA,POINT REYES,,37.99712449,-122.9736984
USA,POINT REYES,,38.0001593,-122.9748062
PER,LA PLANCHADA,CFG LA PLANCHADA,-16.405199,-73.219152
KIR,TARAWA,BETIO ISLAND,1.366718669,172.9329307
KIR,TARAWA,BETIO ISLAND,1.367526095,172.9358519
KIR,TARAWA,BETIO ISLAND,1.372031365,172.9321899
KIR,TARAWA,BETIO ISLAND,1.371525283,172.9365435
KIR,TARAWA,BETIO ISLAND,1.369378078,172.9466823
KIR,TARAWA,BETIO ISLAND,1.372961202,172.9466547
KIR,TARAWA,BETIO ISLAND,1.373558797,172.9435006
KIR,TARAWA,BETIO ISLAND,1.377933913,172.9417182
KIR,TARAWA,BETIO ISLAND,1.381736506,172.9384758
KIR,TARAWA,BETIO ISLAND,1.382497269,172.941759
KIR,TARAWA,BETIO ISLAND,1.378263529,172.9530286
KIR,TARAWA,BETIO ISLAND,1.382438855,172.9523575
KIR,TARAWA,BETIO ISLAND,1.383315376,172.9470685
KIR,TARAWA,BETIO ISLAND,1.386625783,172.9433192
KIR,TARAWA,BETIO ISLAND,1.38695284,172.9474468
KIR,TARAWA,BETIO ISLAND,1.382843831,172.9567064
KIR,TARAWA,BETIO ISLAND,1.38713383,172.9525414
KIR,TARAWA,BETIO ISLAND,1.390237672,172.9526116
KIR,TARAWA,BETIO ISLAND,1.391028968,172.9474198
PER,CHICAMA,,-7.684937996,-79.44971751
PER,CHICAMA,,-7.684992544,-79.44613447
PER,CHICAMA,,-7.68925047,-79.44658029
PER,CHICAMA,,-7.688935997,-79.44884867
RUS,VOSTOCHNYY,,42.71652116,133.009825
RUS,VOSTOCHNYY,,42.77281146,133.018659
RUS,VOSTOCHNYY,,42.76813243,133.0295337
RUS,VOSTOCHNYY,,42.77041546,133.0227816
RUS,VOSTOCHNYY,,42.77834708,133.0165775
PER,CHIMBOTE,,-9.106810284,-78.6027839
PER,CHIMBOTE,,-9.078642497,-78.61399418
PER,CHIMBOTE,,-9.07763585,-78.6113687
PER,CHIMBOTE,,-9.106546264,-78.59792945
PER,CHIMBOTE,,-9.123269071,-78.56373473
PER,CHIMBOTE,,-9.132292322,-78.57307307
PER,CHIMBOTE,,-9.132431206,-78.56870435
PER,CHIMBOTE,,-9.128377143,-78.56506441
