iso3,label,sublabel,latitude,longitude
AND,El Tarter,,42.57952,1.65362
AND,Sant Julià de Lòria,,42.46372,1.49129
AND,Pas de la Casa,,42.542770000000004,1.7336099999999999
AND,Ordino,,42.55623,1.53319
AND,les Escaldes,,42.507290000000005,1.53414
AND,la Massana,,42.544990000000006,1.51483
AND,Encamp,,42.53474,1.5801399999999999
AND,Canillo,,42.5676,1.59756
AND,Arinsal,,42.57205,1.48453
AND,Andorra la Vella,,42.50779,1.52109
ARE,Umm al Qaywayn,,25.564729999999997,55.55517
ARE,Ras al-Khaimah,,25.78953,55.9432
ARE,Muzayri‘,,23.14355,53.7881
ARE,Khawr Fakkān,,25.33132,56.34199
ARE,Dubai,,25.0657,55.17128
ARE,Dibba Al-Fujairah,,25.59246,56.261759999999995
ARE,Dibba Al-Hisn,,25.61955,56.272909999999996
ARE,Sharjah,,25.33737,55.41206
ARE,Ar Ruways,,24.11028,52.73056
ARE,Al Fujayrah,,25.116410000000002,56.341409999999996
ARE,Al Ain,,24.191670000000002,55.76056
ARE,Ajman,,25.41111,55.43504
ARE,Adh Dhayd,,25.288120000000003,55.881569999999996
ARE,Abu Dhabi,,24.46667,54.36666999999999
AFG,Zorkot,,33.54149,69.73446
AFG,Wulêswālī Bihsūd,,34.3436,67.90567
AFG,Kuhsān,,34.653890000000004,61.19778
AFG,Lāsh,,35.3782,64.77457
AFG,Tukzār,,35.94831,66.42132
AFG,Mīray,,33.32462,68.44068
AFG,Āq Kupruk,,36.08352,66.84029
AFG,Zurmat,,33.43778,69.02774000000001
AFG,Zaybāk,,36.52947,71.3441
AFG,Zīārat-e Shāh Maqşūd,,31.9848,65.4736
AFG,Zindah Jān,,34.34264,61.74675
AFG,Zarghūn Shahr,,32.84734,68.44573000000001
AFG,Zaṟah Sharan,,33.146409999999996,68.79213
AFG,Zaranj,,30.95962,61.860369999999996
AFG,Zamtō Kêlay,,32.3726,66.17708
AFG,Yangī Qal‘ah,,37.465720000000005,69.61131
AFG,Yaḩyá Khēl,,32.93742,68.64622
AFG,Wāshēr,,32.25122,63.85553
AFG,Tōrmay,,33.68847,68.40205
AFG,Tūlak,,33.97509,63.728680000000004
AFG,Tītān,,33.69032,63.863609999999994
AFG,Tīr Pul,,34.59431,61.26895
AFG,Taywarah,,33.52118,64.42116
AFG,Bāzār-e Tashkān,,36.881679999999996,70.27674
AFG,Tarinkot,,32.629979999999996,65.87805999999999
AFG,Taloqan,,36.73605,69.53451
AFG,Tagāw-Bāy,,35.69941,66.06164
AFG,Tagāb,,34.85501,69.64917
AFG,Markaz-e Ḩukūmat-e Sulţān-e Bakwāh,,32.24139,62.94936
AFG,Spīn Bōldak,,31.00575,66.40001
AFG,Spērah,,33.202040000000004,69.5152
AFG,Sōzmah Qal‘ah,,36.09916,66.20823
AFG,Siyāhgird,,35.00553,68.85578000000001
AFG,Sheywah,,34.571690000000004,70.58859
AFG,Shīnḏanḏ,,33.30294,62.1474
AFG,Shaykh Amīr Kêlay,,33.287440000000004,69.91283
AFG,Qāshqāl,,35.03975,69.00685
AFG,Shibirghān,,36.66757,65.7529
AFG,Shwāk,,33.42386,69.37684
AFG,Shahr-e Şafā,,31.80347,66.32376
AFG,Shahrān,,36.97984,70.73928000000001
AFG,Shahrak,,34.10737,64.3052
AFG,‘Alāqahdārī Shāh Jōy,,32.52154,67.41315
AFG,Wulêswālī Sayyid Karam,,33.69056,69.36881
AFG,Markaz-e Sayyidābād,,34.000370000000004,68.71346
AFG,Şayād,,36.135290000000005,65.8297
AFG,Sidqābād,,35.02298,69.35112
AFG,Sāyagaz,,32.56521,67.03324
AFG,Sar-e Tayghān,,33.50998,65.67631999999999
AFG,Sarōbī,,34.589620000000004,69.76005
AFG,Sar Kāṉī,,34.79023,71.10961999999999
AFG,Sarfirāz Kalā,,32.98333,67.96517
AFG,Sar-e Pul,,36.21544,65.93249
AFG,Sar Chakān,,35.70177,65.23055
AFG,Sangīn,,32.07275,64.8359
AFG,Sang-e Māshah,,33.1396,67.44046
AFG,Sang-e Chārak,,35.84972,66.43694
AFG,Sang Atesh,,35.248000000000005,63.0044
AFG,Sangar Sarāy,,34.40744,70.63937
AFG,Aībak,,36.26468,68.01550999999999
AFG,Rū-ye Sang,,35.319990000000004,67.63387
AFG,Rūdbār,,30.15,62.6
AFG,Rustāq,,37.12604,69.83045
AFG,Rabāţ-e Sangī-ye Pā’īn,,34.79951,62.13916999999999
AFG,Rāmak,,33.52234,68.6264
AFG,Qurghān,,36.91939,65.0649
AFG,Quchanghī,,34.06183,66.27801
AFG,Sangalak-i-Kaisar,,35.687470000000005,64.29318
AFG,Qarqīn,,37.41853,66.04358
AFG,Qarghah’ī,,34.55402,70.24292
AFG,Qarchī Gak,,37.03999,66.78891
AFG,Qarāwul,,37.219590000000004,68.7802
AFG,Qarah Bāgh,,34.94023,61.775890000000004
AFG,Qarah Bāgh,,33.19801,68.10798
AFG,Qala i Naw,,34.98735,63.12891
AFG,Qal‘ah-ye Kūf,,38.04119,70.47298
AFG,Qal‘ah-ye Kuhnah,,32.61591,63.66681
AFG,Qal‘ah-ye Shahr,,35.547290000000004,65.5676
AFG,Qalāt,,32.10575,66.90833
AFG,Qal‘ah-ye Shāhī,,34.64921,70.5914
AFG,Qādis,,34.8085,63.43003
AFG,Pārūn,,35.42064,70.92260999999999
AFG,Pul-e Khumrī,,35.94458,68.71512
AFG,Pul-e ‘Alam,,33.995290000000004,69.02274
AFG,Pasnay,,35.76664,65.76486
AFG,Pāshmūl,,31.5572,65.4343
AFG,Pasāband,,33.68956,64.8531
AFG,Panjāb,,34.38795,67.02327
AFG,Paghmān,,34.58787,68.95091
AFG,Ōmnah,,32.900290000000005,68.79626999999999
AFG,Qaryeh-ye Owbeh,,34.36972,63.176390000000005
AFG,Uruzgān,,32.92775,66.63253
AFG,Urgūn,,32.941109999999995,69.18
AFG,Nūsay,,38.4435,70.80413
AFG,Nūrgal,,34.613409999999995,70.76498000000001
AFG,Now Zād,,32.40315,64.46959
AFG,Nīlī,,33.721779999999995,66.13023000000001
AFG,Nayak,,34.734140000000004,66.95291999999999
AFG,Nāyak,,32.5723,66.77403000000001
AFG,Now Dahānak,,35.623979999999996,70.00511
AFG,Ōkak,,33.89793,67.95652
AFG,Nāṟay,,35.21995,71.52284
AFG,Narang,,34.760090000000005,71.04738
AFG,Nīkêh,,33.18934,69.27179
AFG,Nahrīn,,36.0649,69.13343
AFG,Ḩukūmat-e Nād ‘Alī,,31.64286,64.23982
AFG,Mūsá Qal‘ah,,32.44565,64.74486
AFG,Bala Murghab,,35.58408,63.32886
AFG,Muqêr,,32.82009,67.76934
AFG,Muḩammad Āghah Wuluswālī,,34.214220000000005,69.10025999999999
AFG,Mīzān ‘Alāqahdārī,,32.17635,66.51271
AFG,Mīr Bachah Kōṯ,,34.749990000000004,69.11899
AFG,Mīrān,,34.22037,68.31259
AFG,Mīrābād,,30.43624,61.8383
AFG,Maymana,,35.92139,64.78361
AFG,Maīdān Khūlah,,33.649159999999995,69.7812
AFG,Mingajik,,37.0279,66.12817
AFG,Mehtar Lām,,34.67139,70.20944
AFG,Mazār-e Sharīf,,36.70904,67.11086999999999
AFG,Māymay,,38.408559999999994,71.03839
AFG,Mutā Khān,,33.24001,68.8663
AFG,Mashhad,,36.81665,70.10211
AFG,Mardīān,,36.99252,66.29654000000001
AFG,Mandōl,,35.28403,70.17017
AFG,Māmā Khēl,,34.24494,69.9968
AFG,Lashkar Gāh,,31.59382,64.37161
AFG,Lāsh-e Juwayn,,31.713820000000002,61.622719999999994
AFG,Larkird,,35.48936,66.66409
AFG,La‘l,,34.50141,66.27996999999999
AFG,Kushk,,33.29565,61.95221
AFG,Kōṯowāl,,34.103190000000005,70.46073
AFG,Kushk-e Kuhnah,,34.8711,62.547619999999995
AFG,Kuran wa Munjan,,36.028659999999995,70.77258
AFG,Kunduz,,36.72895,68.857
AFG,Khōshī,,33.999159999999996,69.21582
AFG,Khōshāmand,,32.68567,68.23801
AFG,Khwājah Ghār,,37.06588,69.42126
AFG,Khwājah Dū Kōh,,36.82881,65.62432
AFG,Deh Khwāhān,,37.88965,70.21875
AFG,Khulbisāt,,33.4948,70.00605
AFG,Khūgyāṉī,,31.56267,66.5814
AFG,Khōst,,33.33951,69.92041
AFG,Khulm,,36.697359999999996,67.69826
AFG,Khudāydād Khēl,,35.17835,67.68758000000001
AFG,Khinjān,,35.589079999999996,68.90093
AFG,Khinj,,35.428979999999996,69.73482
AFG,Khāsh,,31.529190000000003,62.79055
AFG,Khān Neshīn,,30.5488,63.7888
AFG,Khānaqāh,,36.62587,69.53695
AFG,Chahār Bāgh,,37.00108,65.22391999999999
AFG,Khandūd,,36.95127,72.318
AFG,Khānaqāh,,36.862790000000004,66.16656
AFG,Khanabad,,36.6825,69.11556
AFG,Khamyāb,,37.5275,65.75833
AFG,Khākirān,,32.8385,67.07377
AFG,Kaz̲h̲ah,,34.24088,70.18274
AFG,Kishk-e Nakhūd,,31.625190000000003,65.05511
AFG,Karukh,,34.48108,62.5863
AFG,Kanḏay,,34.9536,70.77897
AFG,Kandahār,,31.61332,65.71013
AFG,Kalān Deh,,33.83676,68.40233
AFG,Kalakān,,34.78371,69.15001
AFG,Kalafgān,,36.772259999999996,69.94489
AFG,Kajrān,,33.20357,65.47310999999999
AFG,Kai,,34.128190000000004,70.71828000000001
AFG,Kabul,,34.52813,69.17233
AFG,Jurm,,36.86477,70.83421
AFG,Jawand,,35.06361,64.14917
AFG,Jānī Khēl,,32.76315,68.39721999999999
AFG,Jalrēz,,34.4708,68.65438
AFG,Jalālābād,,34.42647,70.45153
AFG,Jabal os Saraj,,35.11833,69.23778
AFG,Ḩukūmat-e Shīnkaī,,31.98303,67.33558000000001
AFG,Herāt,,34.34817,62.19967
AFG,Ḩājī Khēl,,35.10922,69.43341
AFG,Ḩāfiz̧ Moghul,,37.05643,70.40061
AFG,Khafizan,,34.28665,70.37246999999999
AFG,Guz̄arah,,34.21223,62.21235
AFG,Gōshtah,,34.35822,70.76264
AFG,Gōmal Kêlay,,32.509890000000006,68.85598
AFG,‘Alāqahdārī Gēlān,,32.72692,67.63696
AFG,Ghōriyān,,34.3448,61.49321
AFG,Ghormach,,35.73062,63.78264
AFG,Ghurayd Gharamē,,36.5222,70.79063000000001
AFG,Ghazni,,33.553909999999995,68.42096
AFG,Gereshk,,31.820890000000002,64.57005
