s2id,latitude,longitude,label,sublabel,iso3
134c3b7b,42.450436,18.532929,Herceg Novi,,MNE
134c3aff,42.449921,18.571692,Grads Luka,,MNE
134c3aef,42.438057,18.587616,Kumbor,,MNE
134c3a91,42.433379,18.603502,Portnovi Marina,,MNE
134c3a9d,42.436254,18.611834,El Presidente Beach,,MNE
134c30ef,42.449946,18.650745,Bijela,,MNE
134c3719,42.496107,18.65806,Lipci,,MNE
134c3113,42.447477,18.686209,St Roko,,MNE
134c3175,42.437293,18.689045,Tivat,,MNE
134c319d,42.42769,18.700653,Tivat Inlet,,MNE
134c31dd,42.404477,18.684186,Bjellila,,MNE
134dd491,42.280193,18.839145,Budva,,MNE
134dd40d,42.278481,18.881163,Rafailovici,,MNE
134dd627,42.205386,18.937591,Petrovac,,MNE
134e76ab,42.099563,19.087051,Bar Marina,,MNE
134e7879,42.193812,18.961938,Buljarica Beach,,MNE
134e782f,42.163321,18.988548,Kraljina Beach,,MNE
