s2id,latitude,longitude,label,sublabel,iso3
9049e13b,-5.067685936941914,-81.10363378943028,Paita,,PER
9105cdb3,-11.998229371183497,-77.13626204068692,Callao,,PER
91106351,-13.811829307505585,-76.26145774251077,Paracas,,PER
903696b3,-4.09788,-81.06007,Máncora,,PER
90339247,-3.5015946611314916,-80.39361013516123,Puerto Pizarro,,PER
91445b6b,-17.63127073846154,-71.35309128205385,Ilo,,PER
911064c1,-13.776923030647685,-76.25087987829583,Puerto Pisco,,PER
91445ca1,-17.609324528571427,-71.3626907,Ilo,,PER
904cfaeb,-6.840086,-79.9428945,Pimentel,,PER
9115dc2f,-15.569561470588235,-74.86299205882354,Puerto de Lomas,,PER
913fec57,-16.22239,-73.70759363636364,La Punta,,PER
913fec59,-16.2219,-73.7133,La Punta,,PER
90364441,-4.568710509242272,-81.27750830577469,Talara,,PER
9052abb5,-7.698730483870968,-79.44470731182795,Malabrigo,,PER
914519ed,-18.00042037974684,-70.89296582278484,Puerto Grau,,PER
9036929b,-4.1739865610780535,-81.13337373615681,Los Organos,,PER
9105cb63,-12.050774486458335,-77.16327907291665,Callao,,PER
9105cded,-11.970753333333333,-77.12504,Callao,,PER
91ab8113,-9.072274618055555,-78.59616118055557,Chimbote,,PER
91aa393b,-9.947514150943393,-78.23237987169813,Culebras,,PER
9049e203,-5.0087,-81.073199,Colán,,PER
9105cc4d,-12.001812502893696,-77.1363942988071,Callao,,PER
9105b7a3,-12.165327272727271,-77.03546363636363,Muelle Pescadores,,PER
9115dc37,-15.568091280338267,-74.85596228287524,Puerto de Lomas,,PER
904ce4b3,-6.884823975155279,-79.91548397515528,Santa Rosa,,PER
91ab837b,-9.1501,-78.575699,Chimbote,,PER
9105cd91,-11.9704384,-77.1323270125,Callao,,PER
91ab8369,-9.158686,-78.583111,Chimbote,,PER
91067fef,-11.767741183429338,-77.17775907856662,Ancon,,PER
91ab8301,-9.14700623468208,-78.61008123699423,Chimbote,,PER
91445b71,-17.6278,-71.3451,Ilo,,PER
9049702d,-5.818678947153526,-81.03046660618284,Bajovar,,PER
9036a381,-3.9429979903116017,-80.94078387805708,Cancas,,PER
91ab845f,-9.1386,-78.5428,Chimbote,,PER
9049dd79,-5.12756452933045,-81.17182204654961,Yacila,,PER
91106369,-13.818593333333334,-76.24727666666666,Paracas,,PER
9144454b,-17.68672714285714,-71.38470307142856,Lisas,,PER
91ab8311,-9.156140111111112,-78.59515677777777,Chimbote,,PER
9033f88b,-3.6763,-80.6771,Zorritos,,PER
911064db,-13.763,-76.25462814285714,Puerto Pisco,,PER
91059fd7,-12.474426666666666,-76.79015666666666,Pucusana,,PER
9033f717,-3.6368200018998134,-80.59989837917931,Caleta Cruz,,PER
91451995,-17.99310761416983,-70.88700959040885,Puerto Grau,,PER
9049e131,-5.07233465643274,-81.10364863952482,Paita,,PER
9105cc83,-12.045365348050636,-77.1580874353221,Callao,,PER
9110635b,-13.812757161997876,-76.25642044631415,Paracas,,PER
9049e169,-5.058924454545455,-81.09096518181819,Paita,,PER
904964db,-5.838439492198815,-80.93357067426646,DPA Galileo,,PER
91ab8229,-9.1001,-78.621,Chimbote,,PER
91068f33,-11.577690608444449,-77.28800126685715,Chancay,,PER
91445adb,-17.669269630507767,-71.36836310919547,Lisas,,PER
91068f4b,-11.584331615384615,-77.29097430769231,Chancay,,PER
90364415,-4.572494204545454,-81.27345317045454,Talara,,PER
90497e59,-5.714308114485789,-80.8527402888481,Mata Cavallo,,PER
90369153,-4.1058617220987115,-81.06920098714104,Máncora,,PER
91aa16f5,-10.094277553787883,-78.17414313522727,Huarney,,PER
91ab8405,-9.10527757693893,-78.5569608263897,Chimbote,,PER
91ab83fd,-9.101996455572067,-78.57632400594358,Chimbote,,PER
91ab9a41,-9.247200573393158,-78.50244627241928,Samanco,,PER
91ab9a31,-9.254984666666667,-78.51089477777778,Samanco,,PER
91059fc3,-12.465824444444443,-76.79977111111111,Pucusana,,PER
9036a325,-3.969,-80.976,Punta Sal,,PER
9036928f,-4.16987,-81.12977339285715,Los Organos,,PER
90497c5b,-5.773409986867473,-80.86649118799474,Parachique,,PER
9106df59,-11.088394125876103,-77.64042836634877,Carquin,,PER
904971cd,-5.816195052453256,-81.03391820733817,Bajovar,,PER
9052aa2d,-7.6956088,-79.4606132,Malabrigo,,PER
91445ab5,-17.685047784946235,-71.37853805376344,Lisas,,PER
9052abad,-7.7014,-79.43515,Malabrigo,,PER
91ab848b,-9.1435,-78.5466,Chimbote,,PER
91445ba1,-17.633762927038628,-71.33274955364809,Ilo,,PER
9105cb7b,-12.05584556559913,-77.15506006756726,Callao,,PER
9033f85f,-3.6724319539890895,-80.6726656621472,Zorritos,,PER
904964d1,-5.8352914534305125,-80.93370731213454,DPA Galileo,,PER
91406f65,-16.404805057468966,-73.2165148275862,La Planchada,,PER
91ab849d,-9.154732816537466,-78.56110754521964,Chimbote,,PER
9105d279,-11.955679891187577,-77.14179465091188,Callao,,PER
