label,lat,lon,iso3
vnm_1,8.611342881,105.0121872,VNM
vnm_2,8.617432329,105.0176344,VNM
Con Dao Fishing Port,8.651895949,106.5727845,VNM
vnm_8,8.654001628,106.5672751,VNM
Ben Dam Fishing Port,8.657348822,106.567145,VNM
vnm_10,8.658669563,106.5626533,VNM
vnm_12,8.662904906,106.5609716,VNM
vnm_13,8.663872359,106.5574275,VNM
vnm_15,8.667920273,106.5598497,VNM
vnm_16,8.668199398,106.5563571,VNM
vnm_18,9.296705166,103.4668456,VNM
vnm_19,9.297165302,103.4721182,VNM
vnm_20,9.301978097,103.4706284,VNM
vnm_28,9.573027822,106.517996,VNM
vnm_30,9.575171225,106.5152212,VNM
vnm_33,9.583580565,106.5028976,VNM
vnm_34,9.583969319,106.5065268,VNM
vnm_35,9.612517525,106.4989468,VNM
Định An Fishing Port,9.615941541,106.2862748,VNM
vnm_37,9.626264638,106.4634754,VNM
vnm_38,9.626405738,106.4647006,VNM
Láng Chim Fishing Port,9.682861584,106.5339572,VNM
vnm_40,9.94775173,104.0280813,VNM
vnm_41,9.95111645,104.0100796,VNM
vnm_42,9.952537894,104.0269707,VNM
vnm_43,9.97511194,104.0286824,VNM
vnm_44,9.978156154,104.0281215,VNM
vnm_45,9.996097409,104.0165277,VNM
vnm_46,10.00012027,104.0152145,VNM
vnm_47,10.00453488,104.0378867,VNM
vnm_48,10.00522351,104.0333364,VNM
vnm_49,10.00896158,104.0166255,VNM
vnm_50,10.00909502,104.0196221,VNM
vnm_51,10.01228373,104.0157558,VNM
vnm_52,10.01261905,104.0206718,VNM
vnm_53,10.01391573,104.0049765,VNM
vnm_54,10.01625045,104.0162371,VNM
vnm_55,10.01626087,104.0225993,VNM
vnm_56,10.01833439,104.0087688,VNM
vnm_57,10.01845838,104.0044959,VNM
vnm_59,10.02187128,104.0075728,VNM
vnm_60,10.02317524,104.0039152,VNM
vnm_63,10.18983956,106.7023628,VNM
vnm_66,10.19410246,106.7043034,VNM
vnm_68,10.19643075,106.7064928,VNM
vnm_71,10.1996927,106.7081705,VNM
vnm_73,10.20387352,106.7070141,VNM
vnm_74,10.20470021,106.7051721,VNM
vnm_75,10.21062418,106.6957939,VNM
vnm_76,10.2124294,106.6918679,VNM
vnm_77,10.21621639,106.6851104,VNM
vnm_78,10.21668985,106.7169865,VNM
vnm_79,10.21796414,106.6805627,VNM
vnm_80,10.22087992,106.673757,VNM
vnm_81,10.32609924,107.0733418,VNM
vnm_82,10.32733738,107.0704258,VNM
vnm_86,10.33857666,107.0623009,VNM
vnm_87,10.33951658,107.0702983,VNM
vnm_88,10.3435834,107.072342,VNM
vnm_89,10.34371685,107.069344,VNM
vnm_90,10.34373168,107.064324,VNM
vnm_91,10.34569747,106.3913396,VNM
vnm_92,10.34600784,107.0683868,VNM
vnm_93,10.34725424,107.0637793,VNM
vnm_94,10.34758935,106.378325,VNM
vnm_95,10.34903004,106.3722035,VNM
vnm_96,10.35058213,106.3782897,VNM
vnm_97,10.3587274,107.0546736,VNM
vnm_98,10.35891318,107.0535707,VNM
vnm_99,10.36505845,107.0552503,VNM
vnm_100,10.36511131,107.0521452,VNM
Binh Dai Fishing Port,10.37037924,107.0519553,VNM
vnm_107,10.37641447,107.0507708,VNM
vnm_108,10.37669419,107.0725276,VNM
vnm_109,10.37707277,107.0698989,VNM
vnm_114,10.37890531,107.0722709,VNM
vnm_119,10.38064784,106.8752601,VNM
vnm_120,10.38109655,107.0505208,VNM
vnm_121,10.38155579,107.0692246,VNM
vnm_122,10.38171967,106.8778506,VNM
vnm_123,10.38258813,106.8843268,VNM
vnm_124,10.38285679,106.8837336,VNM
vnm_126,10.38311961,106.8809219,VNM
vnm_132,10.38623977,107.0663585,VNM
vnm_133,10.38692914,107.064091,VNM
vnm_134,10.38736925,107.0523104,VNM
vnm_135,10.38897343,107.0560789,VNM
